category_id,category,title,rating,duration
ct107,Action & Adventure,Popeye,PG,114 min
ct108,Action & Adventure,Mujrim,TV-14,163 min
ct109,Action & Adventure,National Lampoon's Loaded Weapon 1,PG-13,82 min
ct110,Action & Adventure,Charlie's Angels,PG-13,98 min
ct111,Action & Adventure,Helios,TV-14,118 min
ct112,Action & Adventure,Kickboxer: Retaliation,R,110 min
ct113,Action & Adventure,Congo,PG-13,108 min
ct114,Action & Adventure,No Escape,R,103 min
ct115,Action & Adventure,The Humanity Bureau,R,94 min
ct116,Action & Adventure,Labyrinth,PG,101 min
ct117,Action & Adventure,War,R,103 min
ct118,Action & Adventure,Animal World,TV-MA,130 min
ct119,Action & Adventure,National Treasure,PG,131 min
ct120,Action & Adventure,Mowgli: Legend of the Jungle,PG-13,105 min
ct121,Action & Adventure,Gumrah,TV-14,149 min
ct122,Action & Adventure,The Imaginarium of Doctor Parnassus,PG-13,123 min
ct123,Action & Adventure,How It Ends,TV-MA,113 min
ct124,Action & Adventure,Dynasty Warriors,TV-14,118 min
ct125,Action & Adventure,Bulletproof 2,TV-MA,97 min
ct126,Action & Adventure,Platoon,R,120 min
ct127,Action & Adventure,Imperfect,TV-MA,95 min
ct128,Action & Adventure,Doubles Cause Troubles,TV-14,94 min
ct129,Action & Adventure,Triple Threat,R,96 min
ct130,Action & Adventure,The Last Days of American Crime,TV-MA,149 min
ct131,Action & Adventure,Doom,R,105 min
ct132,Action & Adventure,Naruto Shippûden the Movie: The Will of Fire,TV-PG,96 min
ct133,Action & Adventure,Hold the Dark,TV-MA,126 min
ct134,Action & Adventure,La Leyenda del Diamante,TV-MA,87 min
ct135,Action & Adventure,Don't Crack Under Pressure III,TV-14,94 min
ct136,Action & Adventure,Guna 369,TV-MA,143 min
ct137,Action & Adventure,Barely Lethal,PG-13,99 min
ct138,Action & Adventure,El-Khawaga's Dilemma,TV-14,94 min
ct139,Action & Adventure,Rogue Warfare: The Hunt,R,104 min
ct140,Action & Adventure,Barsaat,TV-PG,166 min
ct141,Action & Adventure,Project Power,R,113 min
ct142,Action & Adventure,Naruto Shippuden: The Movie,TV-PG,95 min
ct143,Action & Adventure,Don't Crack Under Pressure II,TV-MA,88 min
ct144,Action & Adventure,Midnight Run,R,126 min
ct145,Action & Adventure,Don't Crack Under Pressure,TV-MA,95 min
ct146,Action & Adventure,Black Sea,R,114 min
ct147,Action & Adventure,Tarung Sarung,TV-PG,116 min
ct148,Action & Adventure,Raees,TV-14,143 min
ct149,Action & Adventure,Best of the Best,PG-13,97 min
ct150,Action & Adventure,Mobile Suit Gundam Hathaway,TV-14,96 min
ct151,Action & Adventure,The 4th Company,TV-MA,117 min
ct152,Action & Adventure,The Bounty Hunter,PG-13,111 min
ct153,Action & Adventure,Birth of the Dragon,PG-13,96 min
ct154,Action & Adventure,Skylines,R,113 min
ct155,Action & Adventure,We Are Legends,TV-14,109 min
ct156,Action & Adventure,District 9,R,112 min
ct157,Action & Adventure,Mortal Kombat,PG-13,101 min
ct158,Action & Adventure,Disciples Of The 36th Chamber,TV-14,90 min
ct159,Action & Adventure,Unknown,PG-13,113 min
ct160,Action & Adventure,Die Another Day,PG-13,133 min
ct161,Action & Adventure,In the Line of Fire,R,129 min
ct162,Action & Adventure,Di Renjie zhi Sidatianwang,TV-14,132 min
ct163,Action & Adventure,London Heist,R,96 min
ct164,Action & Adventure,Into the Wild,R,148 min
ct165,Action & Adventure,The Take,R,92 min
ct166,Action & Adventure,The Debt Collector,TV-MA,96 min
